DAY,Глава,Глагол,Файл (назвать так!),Предложение (EN),Перевод (RU),한국어,Что на картинке (RU),Промпт для генератора (вставить после стиля)
1,1,HAVE ①,day-001.png,Do you have any pets?,У тебя есть домашние животные?,반려동물 키워요?,"Двое на диване, на коленях у одного золотистый ретривер","two friends chatting on a sofa, a golden retriever resting its head on one lap, cozy living room"
2,1,HAVE ②,day-002.png,"I just had a snack, so I'm not that hungry.","Я только что перекусил, так что не особо голоден.",방금 간식 먹어서 별로 안 배고파요.,"Человек отодвигает тарелку, рядом пустая обёртка от батончика","a person politely pushing a plate away at a table, an empty snack wrapper beside them, small gesture of refusal"
3,1,HAVE ③,day-003.png,I had a weird morning yesterday.,У меня вчера было странное утро.,어제 아침이 좀 이상했어요.,"Человек с кофе смотрит в окно, за окном что-то нелепое — птица на самокате","a person holding coffee by a window, looking puzzled at something odd outside, morning light"
4,1,HAVE ④,day-004.png,Samsung is having a new-product launch today.,Samsung сегодня проводит презентацию нового продукта.,삼성이 오늘 신제품 발표회를 열어요.,"Сцена презентации: большой экран, спикер, зал","a tech product launch stage, large screen, presenter in front of a seated audience, spotlights"
5,1,HAVE ⑤,day-005.png,I have some chores to do in the afternoon.,У меня после обеда есть кое-какие дела по дому.,오후에 집안일이 좀 있어요.,"Список дел на холодильнике, корзина с бельём, губка и швабра","a fridge door with a to-do list magnet, laundry basket and mop nearby, sunny apartment"
6,1,HAVE ⑥,day-006.png,The Gion district in Kyoto has a charming vibe.,У квартала Гион в Киото особое очарование.,교토 기온 거리는 분위기가 참 좋아요.,"Узкая улочка Гион: деревянные дома, красные фонари, вечер","a narrow traditional Kyoto street at dusk, wooden machiya houses, warm red lanterns"
7,1,HAVE ⑦,day-007.png,Thank you for having us over for dinner.,"Спасибо, что пригласили нас на ужин.",저녁 식사에 초대해 주셔서 감사합니다.,"Хозяева провожают гостей у двери, гости благодарят","hosts saying goodbye to guests at a front door after dinner, warm hallway light, handshake"
8,1,HAVE ⑧,day-008.png,You could have Daniel give you a ride.,Ты можешь попросить Даниэля тебя подвезти.,다니엘한테 태워 달라고 하면 되잖아요.,"Один человек указывает на друга у машины, тот открывает пассажирскую дверь","one person gesturing toward a friend beside a car who is opening the passenger door, street at dusk"
9,1,GET ①,day-009.png,My boyfriend got a ticket to the concert.,Мой парень достал билет на концерт.,남자친구가 콘서트 티켓을 구했어요.,"Рука держит билет на концерт, на фоне светящаяся сцена","a hand holding a concert ticket, glowing stage and crowd blurred in the background"
10,1,GET ②,day-010.png,You have to book way in advance to get a table there.,Столик там надо бронировать сильно заранее.,거기는 한참 전에 예약해야 자리가 있어요.,"Телефон с экраном бронирования, все даты заняты, на фоне популярный ресторан","a phone showing a restaurant booking screen with all dates greyed out, busy restaurant behind"
11,1,GET ③,day-011.png,Let's get a drink after work.,Давай после работы выпьем по бокалу.,퇴근하고 한잔하죠.,Двое коллег с пиджаками на руке идут в бар вечером,"two colleagues with jackets over their arms walking into a bar in the evening, neon sign"
12,1,GET ④,day-012.png,Can I get a large Americano?,Можно мне большой американо?,아메리카노 큰 걸로 주세요.,"Клиент у стойки кофейни, бариста готовит большой стакан","a customer ordering at a coffee shop counter, barista preparing a large iced americano"
13,1,GET ⑤,day-013.png,We just got back last night.,Мы только вчера вечером вернулись.,저희 어젯밤에 막 돌아왔어요.,Пара заходит домой с чемоданами поздно вечером,"a couple entering their apartment at night with suitcases, hallway light on, tired but happy"
14,1,GET ⑥,day-014.png,I don't get why she's so upset.,"Я не понимаю, почему она так расстроена.",걔가 왜 그렇게 속상해하는지 모르겠어요.,"Человек с растерянным жестом, на фоне другой отвернулся","a confused person shrugging, another figure turned away in the background, tense mood"
15,1,GET ⑦,day-015.png,I feel like my English is getting rusty.,"Чувствую, что мой английский начинает ржаветь.",영어가 점점 녹스는 것 같아요.,"Раскрытый учебник английского в пыли, рядом чашка","a dusty open English textbook on a desk with a mug, faint rust-colored tint, neglected study corner"
16,1,GET ⑧,day-016.png,I get a headache if I don't drink coffee.,"Если я не выпью кофе, у меня болит голова.",커피를 안 마시면 머리가 아파요.,"Человек трёт виски, рядом нетронутая чашка кофе","a person rubbing their temples at a desk, an untouched coffee cup beside them, morning office"
17,1,GET ⑨,day-017.png,I need to get these groceries home.,Мне нужно довезти эти продукты до дома.,이 장 본 것들 집까지 가져가야 해요.,Человек с двумя тяжёлыми пакетами продуктов на улице,"a person carrying two heavy grocery bags along a sidewalk, slightly struggling"
18,1,GET ⑩,day-018.png,This area doesn't get much sunshine.,В этом районе мало солнца.,이 동네는 햇빛이 잘 안 들어요.,"Тенистый двор между высокими домами, узкая полоска света","a shaded courtyard between tall buildings, one thin strip of sunlight on the ground"
19,1,GET ⑪,day-019.png,We got you a spot next to us.,Мы заняли тебе место рядом с нами.,우리 옆에 자리 맡아 놨어요.,"Люди в зале, на соседнем кресле лежит куртка — место занято","people seated in an auditorium, a jacket saving an empty seat beside them, someone waving"
20,1,GET ⑫,day-020.png,I got my hair dyed yesterday.,Я вчера покрасил волосы.,어제 머리 염색했어요.,"Клиент в кресле парикмахерской, мастер показывает результат в зеркале","a client in a salon chair admiring newly dyed hair in the mirror, stylist behind them"
21,1,GET ⑬,day-021.png,How can I get my kids to eat vegetables?,Как заставить детей есть овощи?,애들이 채소를 먹게 하려면 어떻게 해야 하죠?,"Ребёнок отодвигает брокколи, родитель уговаривает","a child pushing broccoli to the edge of the plate while a parent gently coaxes, kitchen table"
22,1,MAKE ①,day-022.png,"I can make you steamed galbi, if you want.","Могу приготовить тебе тушёные кальби, если хочешь.",원하면 갈비찜 해 줄게요.,"Домашняя кухня, кастрюля кальби-ччим, хозяин показывает блюдо","a home cook lifting the lid off a pot of Korean braised short ribs, steam rising, family kitchen"
23,1,MAKE ②,day-023.png,Having children has made me a better husband.,Дети сделали меня лучшим мужем.,아이가 생기면서 더 좋은 남편이 됐어요.,"Отец с ребёнком на руках моет посуду, жена рядом улыбается","a father holding a toddler in one arm while doing dishes, partner smiling nearby, warm kitchen"
24,1,MAKE ③,day-024.png,I made myself go to the gym today.,Я заставил себя сегодня пойти в зал.,오늘 억지로 헬스장에 갔어요.,Человек с усилием завязывает кроссовки у двери спортзала,"a person reluctantly tying running shoes at a gym entrance, gym equipment behind"
25,1,MAKE ④,day-025.png,Sitting in traffic makes me feel anxious.,Стоять в пробке меня нервирует.,차 막히면 불안해져요.,"Водитель в пробке, руки на руле, бесконечные стоп-огни","a driver gripping the wheel in heavy traffic, endless red tail lights ahead, tense expression"
26,1,MAKE ⑤,day-026.png,They made it to the finals.,Они вышли в финал.,걔네 결승에 올라갔어요.,"Команда празднует на поле, табло с надписью FINAL","a sports team celebrating on the field, stadium scoreboard reading FINAL, confetti"
27,1,MAKE ⑥,day-027.png,Those two would make a great couple.,Эти двое отлично смотрелись бы вместе.,저 둘 잘 어울릴 것 같은데요.,Двое друзей наблюдают за парой издалека и переглядываются,two friends at a cafe glancing knowingly at a man and woman talking across the room
28,1,TAKE ①,day-028.png,"If we can't finish, we can take the leftovers home.","Если не доедим, можем забрать остатки домой.",다 못 먹으면 남은 거 싸 가면 돼요.,Официант упаковывает остатки в контейнер,a server packing leftover food into a takeout box at a restaurant table
29,1,TAKE ②,day-029.png,That kindergarten doesn't take kids under five.,Этот детский сад не берёт детей младше пяти.,그 유치원은 다섯 살 미만은 안 받아요.,"Вход в детский сад, табличка с возрастом, родитель с малышом","a kindergarten entrance with an age policy sign, a parent holding a small child outside"
30,1,TAKE ③,day-030.png,Kevin doesn't take advice from anyone.,Кевин ни от кого не принимает советов.,케빈은 누구 말도 안 들어요.,"Человек скрестил руки и отвернулся, коллега что-то объясняет","a man with crossed arms looking away while a colleague tries to advise him, office"
31,1,TAKE ④,day-031.png,It takes a lot to make me angry.,Меня трудно вывести из себя.,저는 웬만해선 화 안 내요.,Человек спокойно улыбается посреди хаоса в офисе,"a calm person smiling amid chaotic office commotion, papers flying, unbothered"
32,1,TAKE ⑤,day-032.png,It took me months to finish reading that book.,Я читал эту книгу несколько месяцев.,그 책 다 읽는 데 몇 달 걸렸어요.,"Толстая книга с закладкой почти в конце, календарь на стене","a thick book with a bookmark near the end on a desk, wall calendar with many crossed days"
33,1,TAKE ⑥,day-033.png,She didn't take it well.,Она восприняла это тяжело.,걔는 그걸 많이 힘들어했어요.,"Человек сидит один на скамейке, подперев голову","a person sitting alone on a park bench, head in hands, overcast evening"
34,1,DO,day-034.png,I do a lot of admin work at my job.,На работе у меня много бумажной работы.,회사에서 행정 업무를 많이 해요.,"Офисный стол, стопки документов, человек ставит подписи","an office desk piled with paperwork, a person signing forms, stamp and folders"
35,1,LIKE,day-035.png,"I don't like to play golf, but I have to for my job.","Я не люблю играть в гольф, но приходится по работе.",골프 좋아하진 않는데 일 때문에 쳐요.,"Мужчина в деловой одежде с клюшкой, без энтузиазма","a businessman on a golf course holding a club with a resigned expression, colleagues behind"
36,1,SEE,day-036.png,I haven't seen you for a while.,Давно тебя не видел.,오랜만이에요.,Двое обнимаются при встрече на улице,"two friends hugging in greeting on a city street, genuine smiles, reunion"
37,1,KNOW,day-037.png,I know the owner.,Я знаком с владельцем.,제가 사장님이랑 아는 사이예요.,Гость приветствует владельца ресторана за руку,a guest shaking hands warmly with a restaurant owner near the counter
38,1,WORK ①,day-038.png,This diet really worked for me.,Эта диета мне реально помогла.,이 다이어트 저한테 진짜 효과 있었어요.,"Человек застёгивает свободные джинсы, на стене фото «до»","a person holding out the loose waistband of their jeans, before-photo on the wall"
39,1,WORK ②,day-039.png,Dating doesn't work that way anymore. Times have changed.,Свидания теперь устроены иначе. Времена изменились.,요즘 연애는 그런 식이 아니에요. 시대가 변했죠.,"Слева пара со свиданием вслепую в старом стиле, справа — приложение знакомств",a split scene: an old-fashioned blind date at a cafe versus someone swiping on a dating app
40,1,GO ①,day-040.png,I'm glad to hear your trip went well.,"Рад слышать, что поездка прошла хорошо.",여행 잘 다녀오셨다니 다행이에요.,Друзья смотрят фото из поездки на телефоне,"two friends looking at travel photos on a phone, one just back from a trip, suitcase nearby"
41,1,GO ②,day-041.png,The screen went dark for some reason.,Экран почему-то погас.,화면이 갑자기 꺼졌어요.,Человек смотрит на потухший экран ноутбука,"a person staring at a laptop with a completely black screen, puzzled, desk lamp on"
42,1,GO ③,day-042.png,Food trash goes in this yellow bag.,Пищевые отходы — в этот жёлтый пакет.,음식물 쓰레기는 이 노란 봉투에 넣으면 돼요.,"Кухня, жёлтый пакет для пищевых отходов, человек показывает","a kitchen with a yellow food-waste bag, one person pointing it out to another, Korean apartment"
43,2,WANT,day-043.png,Do you want a ride to the station?,Подвезти тебя до вокзала?,역까지 태워다 줄까요?,"Водитель открывает пассажирскую дверь, вдали вокзал","a driver leaning over to open the passenger door, train station visible down the street"
44,2,SAY,day-044.png,The website says the item is out of stock.,"На сайте написано, что товара нет в наличии.",사이트에 품절이라고 나와 있어요.,Экран телефона: OUT OF STOCK,"a phone screen showing OUT OF STOCK on a shopping site, disappointed person holding it"
45,2,LET ①,day-045.png,Let me walk you out.,Давай я тебя провожу.,제가 배웅해 드릴게요.,Хозяин провожает гостя до лифта,"a host walking a guest toward the elevator, gesturing politely, office corridor"
46,2,LET ②,day-046.png,"Could you let me finish my sentence, please?","Дайте мне, пожалуйста, договорить.",제 말 좀 끝까지 들어 주시겠어요?,"Человек поднимает ладонь, прося не перебивать, на совещании",a person raising an open palm asking not to be interrupted during a meeting
47,2,LET ③,day-047.png,I can't let nasty comments discourage me.,Не могу позволить злым комментариям меня сломить.,악플 때문에 위축되지 않으려고요.,Человек закрывает ноутбук с комментариями и выпрямляется,"a person closing a laptop full of negative comments and sitting up straight, resolute"
48,2,GIVE ①,day-048.png,This song gives me chills.,От этой песни у меня мурашки.,이 노래 들으면 소름 돋아요.,"Человек в наушниках с закрытыми глазами, мурашки на руке","a person with eyes closed wearing headphones, goosebumps on their forearm, moved by music"
49,2,GIVE ②,day-049.png,Let me give you a quick update on the project.,"Коротко расскажу, как идёт проект.",프로젝트 진행 상황 간단히 말씀드릴게요.,"Совещание, спикер у экрана с графиком проекта","a short stand-up meeting, one person presenting a project timeline on a screen"
50,2,KEEP ①,day-050.png,You can keep the omelet pan.,Сковородку для омлета можешь оставить себе.,그 오믈렛 팬은 그냥 가지세요.,"Один протягивает другому сковородку, жест «оставь себе»","one person handing an omelet pan to another with a keep-it gesture, kitchen doorway"
51,2,KEEP ②,day-051.png,This website keeps giving me an error message.,Этот сайт постоянно выдаёт мне ошибку.,이 사이트 자꾸 오류가 떠요.,"Экран с сообщением об ошибке, человек раздражён","a laptop screen showing a repeated error message, frustrated person clicking again"
52,2,KEEP ③,day-052.png,"Wow, how do you keep your bathroom so clean?",Как ты держишь ванную в такой чистоте?,화장실을 어떻게 이렇게 깨끗하게 유지해요?,"Сверкающая чистая ванная, гость удивлён","a spotless sparkling bathroom, a guest peeking in looking impressed"
53,2,LEAVE ①,day-053.png,I'm leaving on the first flight out tomorrow.,Я улетаю завтра первым рейсом.,내일 첫 비행기로 떠나요.,Человек с чемоданом в пустом аэропорту на рассвете,"a traveler with a suitcase in an empty airport terminal at dawn, departure board glowing"
54,2,LEAVE ②,day-054.png,I left you some pizza over there if you're hungry.,"Я оставил тебе там пиццу, если проголодаешься.",배고프면 저기 피자 좀 남겨 놨어요.,Кусок пиццы на столе под фольгой с запиской,"a couple of pizza slices left on a kitchen counter with a sticky note, late evening"
55,2,LEAVE ③,day-055.png,Do you want me to leave the door open?,Оставить дверь открытой?,문 열어 둘까요?,Человек держит дверь приоткрытой и оглядывается,"a person holding a door half open, looking back over their shoulder questioningly"
56,2,BRING,day-056.png,Do you mind if I bring Nick with me?,"Ничего, если я приведу с собой Ника?",닉도 같이 데려가도 될까요?,"Человек пишет сообщение, рядом стоит друг","a person texting while a friend waits beside them, both ready to go out"
