DAY,Глава,Глагол,Файл,Предложение (EN),Перевод (RU),한국어,Что на картинке (RU),Готовый промпт
1,1,HAVE ①,day-001,Do you have any pets?,У тебя есть домашние животные?,반려동물 키워요?,"Двое на диване, на коленях у одного золотистый ретривер","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two friends chatting on a sofa, a golden retriever resting its head on one lap, cozy living room"
2,1,HAVE ②,day-002,"I just had a snack, so I'm not that hungry.","Я только что перекусил, так что не особо голоден.",방금 간식 먹어서 별로 안 배고파요.,"Человек отодвигает тарелку, рядом пустая обёртка от батончика","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person politely pushing a plate away at a table, an empty snack wrapper beside them, small gesture of refusal"
3,1,HAVE ③,day-003,I had a weird morning yesterday.,У меня вчера было странное утро.,어제 아침이 좀 이상했어요.,"Человек с кофе смотрит в окно, за окном что-то нелепое — птица на самокате","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person holding coffee by a window, looking puzzled at something odd outside, morning light"
4,1,HAVE ④,day-004,Samsung is having a new-product launch today.,Samsung сегодня проводит презентацию нового продукта.,삼성이 오늘 신제품 발표회를 열어요.,"Сцена презентации: большой экран, спикер, зал","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a tech product launch stage, large screen, presenter in front of a seated audience, spotlights"
5,1,HAVE ⑤,day-005,I have some chores to do in the afternoon.,У меня после обеда есть кое-какие дела по дому.,오후에 집안일이 좀 있어요.,"Список дел на холодильнике, корзина с бельём, губка и швабра","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a fridge door with a to-do list magnet, laundry basket and mop nearby, sunny apartment"
6,1,HAVE ⑥,day-006,The Gion district in Kyoto has a charming vibe.,У квартала Гион в Киото особое очарование.,교토 기온 거리는 분위기가 참 좋아요.,"Узкая улочка Гион: деревянные дома, красные фонари, вечер","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a narrow traditional Kyoto street at dusk, wooden machiya houses, warm red lanterns"
7,1,HAVE ⑦,day-007,Thank you for having us over for dinner.,"Спасибо, что пригласили нас на ужин.",저녁 식사에 초대해 주셔서 감사합니다.,"Хозяева провожают гостей у двери, гости благодарят","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: hosts saying goodbye to guests at a front door after dinner, warm hallway light, handshake"
8,1,HAVE ⑧,day-008,You could have Daniel give you a ride.,Ты можешь попросить Даниэля тебя подвезти.,다니엘한테 태워 달라고 하면 되잖아요.,"Один человек указывает на друга у машины, тот открывает пассажирскую дверь","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: one person gesturing toward a friend beside a car who is opening the passenger door, street at dusk"
9,1,GET ①,day-009,My boyfriend got a ticket to the concert.,Мой парень достал билет на концерт.,남자친구가 콘서트 티켓을 구했어요.,"Рука держит билет на концерт, на фоне светящаяся сцена","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a hand holding a concert ticket, glowing stage and crowd blurred in the background"
10,1,GET ②,day-010,You have to book way in advance to get a table there.,Столик там надо бронировать сильно заранее.,거기는 한참 전에 예약해야 자리가 있어요.,"Телефон с экраном бронирования, все даты заняты, на фоне популярный ресторан","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a phone showing a restaurant booking screen with all dates greyed out, busy restaurant behind"
11,1,GET ③,day-011,Let's get a drink after work.,Давай после работы выпьем по бокалу.,퇴근하고 한잔하죠.,Двое коллег с пиджаками на руке идут в бар вечером,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two colleagues with jackets over their arms walking into a bar in the evening, neon sign"
12,1,GET ④,day-012,Can I get a large Americano?,Можно мне большой американо?,아메리카노 큰 걸로 주세요.,"Клиент у стойки кофейни, бариста готовит большой стакан","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a customer ordering at a coffee shop counter, barista preparing a large iced americano"
